index,theta,A,B,C,X,Y,Id,Iq
269,0.48,-2.00,6.00,-2.00,-3.27,5.66,-0.29,6.53
270,0.96,-3.00,5.00,0.00,-4.49,3.54,0.34,5.70
271,1.48,-4.00,3.00,2.00,-5.31,0.71,0.22,5.35
272,1.98,-4.00,1.00,4.00,-5.31,-2.12,0.18,5.71
273,2.48,-2.00,-1.00,5.00,-3.27,-4.24,-0.04,5.35
274,2.99,0.00,-3.00,5.00,-0.82,-5.66,-0.06,5.72
275,3.49,2.00,-4.00,3.00,2.04,-4.95,-0.25,5.35
276,4.03,4.00,-4.00,1.00,4.49,-3.54,-0.08,5.71
277,4.57,5.00,-2.00,-1.00,5.31,-0.71,-0.05,5.35
278,5.09,5.00,0.00,-3.00,5.31,2.12,-0.03,5.71
279,5.60,3.00,2.00,-3.00,2.86,3.54,-0.01,4.55
280,6.11,1.00,4.00,-3.00,0.41,4.95,-0.44,4.95
281,0.36,-1.00,5.00,-2.00,-2.04,4.95,-0.16,5.35
282,0.90,-3.00,4.00,0.00,-4.08,2.83,-0.31,4.96
283,1.45,-3.00,3.00,1.00,-4.08,1.41,0.93,4.22
284,1.99,-3.00,1.00,3.00,-4.08,-1.41,0.39,4.30
285,2.50,-2.00,0.00,4.00,-3.27,-2.83,0.94,4.22
286,3.06,0.00,-2.00,4.00,-0.82,-4.24,0.48,4.29
287,3.58,2.00,-3.00,3.00,1.63,-4.24,0.34,4.53
288,4.11,3.00,-3.00,1.00,3.27,-2.83,0.48,4.29
289,4.68,4.00,-2.00,0.00,4.08,-1.41,1.26,4.13
290,5.22,4.00,0.00,-2.00,4.08,1.41,0.76,4.25
291,5.77,2.00,2.00,-3.00,2.04,3.54,0.03,4.08
292,6.28,1.00,3.00,-3.00,0.82,4.24,0.79,4.25
293,0.54,-1.00,4.00,-1.00,-2.04,3.54,0.07,4.08
294,1.06,-2.00,4.00,0.00,-3.27,2.83,0.88,4.23
295,1.58,-3.00,3.00,2.00,-4.49,0.71,0.73,4.49
296,2.11,-3.00,1.00,4.00,-4.49,-2.12,0.49,4.94
297,2.63,-1.00,-1.00,4.00,-2.04,-3.54,0.03,4.08
298,3.17,0.00,-3.00,4.00,-0.41,-4.95,0.53,4.94
299,3.67,2.00,-3.00,3.00,1.63,-4.24,0.73,4.49
300,4.18,4.00,-3.00,1.00,4.08,-2.83,0.36,4.95
301,4.69,5.00,-2.00,-1.00,5.31,-0.71,0.58,5.32
302,5.19,5.00,0.00,-3.00,5.31,2.12,0.56,5.69
303,5.69,3.00,2.00,-4.00,3.27,4.24,0.36,5.34
304,6.20,1.00,4.00,-4.00,0.82,5.66,0.36,5.70
305,0.41,-1.00,5.00,-2.00,-2.04,4.95,0.11,5.35
306,0.90,-4.00,5.00,0.00,-5.31,3.54,-0.52,6.36
307,1.41,-4.00,4.00,2.00,-5.71,1.41,0.49,5.87
308,1.89,-4.00,1.00,5.00,-5.71,-2.83,-0.89,6.31
309,2.38,-2.00,-1.00,6.00,-3.67,-4.95,-0.75,6.12
310,2.87,0.00,-4.00,6.00,-0.82,-7.07,-1.14,7.03
311,3.37,2.00,-5.00,4.00,2.04,-6.36,-0.52,6.66
312,3.87,4.00,-5.00,2.00,4.49,-4.95,-0.04,6.68
313,4.35,6.00,-3.00,0.00,6.12,-2.12,-0.18,6.48
314,4.85,6.00,-1.00,-3.00,6.53,1.41,-0.52,6.66
315,5.34,5.00,1.00,-4.00,5.31,3.54,0.28,6.37
316,5.83,2.00,4.00,-5.00,2.04,6.36,-0.96,6.61
317,0.04,0.00,5.00,-4.00,-0.41,6.36,-0.13,6.38
318,0.55,-3.00,6.00,-1.00,-4.49,4.95,-1.23,6.57
319,1.06,-4.00,5.00,0.00,-5.31,3.54,0.50,6.36
320,1.56,-4.00,3.00,3.00,-5.71,0.00,-0.07,5.71
321,2.06,-4.00,0.00,5.00,-5.31,-3.54,-0.62,6.35
322,2.55,-2.00,-2.00,5.00,-2.86,-4.95,-0.41,5.70
323,3.05,0.00,-3.00,5.00,-0.82,-5.66,0.29,5.71
324,3.56,2.00,-4.00,3.00,2.04,-4.95,0.17,5.35
325,4.11,5.00,-4.00,1.00,5.31,-3.54,-0.09,6.38
326,4.63,5.00,-2.00,-1.00,5.31,-0.71,0.28,5.35
327,5.15,5.00,0.00,-3.00,5.31,2.12,0.32,5.71
328,5.67,3.00,2.00,-4.00,3.27,4.24,0.23,5.35
329,6.17,1.00,4.00,-3.00,0.41,4.95,-0.14,4.96
330,0.44,-1.00,5.00,-2.00,-2.04,4.95,0.24,5.35
331,0.94,-3.00,4.00,0.00,-4.08,2.83,-0.10,4.97
332,1.52,-4.00,3.00,2.00,-5.31,0.71,0.41,5.34
333,2.03,-3.00,1.00,4.00,-4.49,-2.12,0.09,4.97
334,2.55,-1.00,-1.00,4.00,-2.04,-3.54,-0.29,4.07
335,3.07,0.00,-3.00,4.00,-0.41,-4.95,0.04,4.97
336,3.60,2.00,-3.00,3.00,1.63,-4.24,0.39,4.53
337,4.14,4.00,-3.00,1.00,4.08,-2.83,0.14,4.96
338,4.66,5.00,-2.00,0.00,4.90,-1.41,1.14,4.97
339,5.20,5.00,0.00,-2.00,4.90,1.41,1.03,4.99
340,5.69,3.00,2.00,-3.00,2.86,3.54,0.38,4.53
341,6.23,1.00,4.00,-4.00,0.82,5.66,0.50,5.69
342,0.47,-1.00,5.00,-2.00,-2.04,4.95,0.40,5.34
343,0.98,-3.00,4.00,0.00,-4.08,2.83,0.08,4.97
344,1.48,-4.00,3.00,2.00,-5.31,0.71,0.22,5.35
345,2.00,-4.00,1.00,4.00,-5.31,-2.12,0.28,5.71
346,2.53,-2.00,-1.00,5.00,-3.27,-4.24,0.26,5.35
347,3.04,0.00,-3.00,5.00,-0.82,-5.66,0.26,5.71
348,3.55,2.00,-4.00,3.00,2.04,-4.95,0.11,5.35
349,4.07,4.00,-4.00,1.00,4.49,-3.54,0.13,5.71
350,4.57,5.00,-2.00,-1.00,5.31,-0.71,-0.08,5.35
351,5.07,5.00,0.00,-3.00,5.31,2.12,-0.14,5.71
352,5.59,4.00,2.00,-4.00,4.08,4.24,0.43,5.87
353,6.14,1.00,4.00,-4.00,0.82,5.66,-0.02,5.72
354,0.36,-1.00,5.00,-2.00,-2.04,4.95,-0.16,5.35
355,0.87,-3.00,5.00,0.00,-4.49,3.54,-0.19,5.71
356,1.41,-4.00,3.00,2.00,-5.31,0.71,-0.14,5.35
357,1.90,-4.00,1.00,4.00,-5.31,-2.12,-0.28,5.71
358,2.42,-2.00,0.00,5.00,-3.67,-3.54,0.44,5.08
359,2.96,0.00,-3.00,5.00,-0.82,-5.66,-0.20,5.71
360,3.52,2.00,-4.00,3.00,2.04,-4.95,-0.06,5.35
361,4.05,4.00,-3.00,1.00,4.08,-2.83,-0.28,4.96
362,4.58,4.00,-2.00,0.00,4.08,-1.41,0.88,4.23
363,5.11,5.00,0.00,-2.00,4.90,1.41,0.60,5.06
364,5.67,3.00,1.00,-3.00,3.27,2.83,1.04,4.19
365,6.20,1.00,3.00,-3.00,0.82,4.24,0.48,4.29
366,0.47,0.00,4.00,-2.00,-0.82,4.24,1.18,4.16
367,1.04,-2.00,4.00,0.00,-3.27,2.83,0.77,4.25
368,1.60,-3.00,2.00,1.00,-3.67,0.71,0.80,3.66
369,2.14,-2.00,1.00,3.00,-3.27,-1.41,0.55,3.52
370,2.68,-1.00,0.00,3.00,-2.04,-2.12,0.89,2.81
371,3.23,0.00,-2.00,3.00,-0.41,-3.54,0.71,3.49
372,3.77,2.00,-2.00,2.00,1.63,-2.83,0.33,3.25
373,4.33,3.00,-2.00,1.00,2.86,-2.12,0.91,3.44
374,4.92,4.00,-1.00,0.00,3.67,-0.71,1.45,3.45
375,5.47,3.00,0.00,-1.00,2.86,0.71,1.46,2.56
376,6.01,1.00,2.00,-2.00,0.82,2.83,0.03,2.94
377,0.29,0.00,3.00,-2.00,-0.41,3.54,0.64,3.50
378,0.83,-1.00,3.00,0.00,-2.04,2.12,0.18,2.94
379,1.39,-2.00,3.00,0.00,-2.86,2.12,1.56,3.20
380,1.92,-3.00,1.00,2.00,-3.67,-0.71,0.59,3.69
381,2.49,-2.00,0.00,3.00,-2.86,-2.12,0.97,3.42
382,3.03,0.00,-2.00,4.00,-0.82,-4.24,0.34,4.31
383,3.58,1.00,-2.00,3.00,0.41,-3.54,1.12,3.38
384,4.09,3.00,-3.00,1.00,3.27,-2.83,0.41,4.30
385,4.63,4.00,-2.00,0.00,4.08,-1.41,1.08,4.18
386,5.17,4.00,0.00,-2.00,4.08,1.41,0.52,4.29
387,5.69,3.00,1.00,-3.00,3.27,2.83,1.14,4.17
388,6.23,1.00,4.00,-3.00,0.41,4.95,0.16,4.96
389,0.47,-1.00,4.00,-2.00,-1.63,4.24,0.45,4.52
390,0.98,-3.00,4.00,0.00,-4.08,2.83,0.05,4.97
391,1.50,-4.00,3.00,2.00,-5.31,0.71,0.35,5.34
392,2.02,-4.00,1.00,4.00,-5.31,-2.12,0.39,5.70
393,2.55,-2.00,-1.00,5.00,-3.27,-4.24,0.33,5.34
394,3.06,0.00,-3.00,5.00,-0.82,-5.66,0.36,5.70
395,3.60,2.00,-4.00,3.00,2.04,-4.95,0.37,5.34
396,4.11,4.00,-3.00,1.00,4.08,-2.83,0.02,4.97
