mag,encoder
638,6859
639,6861
640,6862
641,6860
642,6865
643,6864
644,6868
645,6870
646,6868
647,6871
648,6875
649,6875
650,6877
651,6883
652,6884
653,6883
654,6886
655,6887
656,6890
657,6893
658,6894
659,6894
660,6896
661,6899
662,6900
663,6902
664,6906
665,6907
666,6907
667,6910
668,6908
669,6912
670,6915
671,6915
672,6917
673,6921
674,6919
675,6923
676,6922
677,6920
678,6922
679,6920
680,6921
681,6920
682,6921
683,6920
684,6918
685,6919
686,6918
687,6920
688,6921
689,6923
690,6921
691,6922
692,6923
693,6922
694,6924
695,6927
696,6927
697,6930
698,6930
699,6932
700,6932
701,6934
702,6934
703,6936
704,6937
705,6940
706,6943
707,6941
708,6945
709,6943
710,6946
711,6945
712,6947
713,6949
714,6948
715,6950
716,6949
717,6953
718,6951
719,6955
720,6957
721,6955
722,6959
723,6959
724,6960
725,6960
726,6962
727,6961
728,6963
729,6967
730,6969
731,6968
732,6971
733,6970
734,6971
735,6971
736,6974
737,6976
738,6978
739,6976
740,6979
741,6978
742,6980
743,6982
744,6984
745,6982
746,6985
747,6987
748,6989
749,6990
750,6987
751,6993
752,6991
753,6991
754,6994
755,6992
756,6994
757,6997
758,6996
759,6998
760,7001
761,7002
762,7001
763,7002
764,7005
765,7002
766,7006
767,7003
768,7006
769,7009
770,7009
771,7011
772,7013
773,7012
774,7012
775,7013
776,7014
777,7017
778,7015
779,7017
780,7021
781,7020
782,7022
783,7021
784,7023
785,7023
786,7025
787,7027
788,7028
789,7029
790,7031
791,7029
792,7029
793,7033
794,7033
795,7034
796,7035
797,7037
798,7039
799,7037
800,7041
801,7041
802,7043
803,7045
804,7043
805,7050
806,7049
807,7050
808,7050
809,7050
810,7052
811,7053
812,7056
813,7057
814,7057
815,7055
816,7058
817,7063
818,7063
819,7067
820,7064
821,7064
822,7068
823,7067
824,7070
825,7071
826,7076
827,7072
828,7074
829,7076
830,7077
831,7083
832,7078
833,7080
834,7081
835,7083
836,7085
837,7087
838,7086
839,7087
840,7089
841,7092
842,7092
843,7093
844,7095
845,7095
846,7097
847,7098
848,7099
849,7103
850,7105
851,7104
852,7106
853,7106
854,7108
855,7107
856,7106
857,7108
858,7107
859,7108
860,7109
861,7108
862,7108
863,7109
864,7108
865,7106
866,7109
867,7110
868,7109
869,7108
870,7109
871,7109
872,7112
873,7113
874,7115
875,7115
876,7115
877,7116
878,7118
879,7120
880,7118
881,7124
882,7124
883,7127
884,7123
885,7129
886,7130
887,7134
888,7133
889,7136
890,7136
891,7137
892,7137
893,7139
894,7143
895,7142
896,7143
897,7148
898,7144
899,7149
900,7153
901,7154
902,7152
903,7160
904,7159
905,7156
906,7159
907,7164
908,7163
909,7164
910,7165
911,7167
912,7167
913,7167
914,7170
915,7168
916,7170
917,7174
