index,theta,A,B,C,X,Y,Id,Iq
0,0.53,-15.00,-15.00,-11.00,-1.63,-2.83,-2.84,-1.60
1,0.55,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
2,0.58,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
3,0.60,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
4,0.64,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
5,0.66,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
6,0.71,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
7,0.72,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
8,0.77,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
9,0.79,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
10,0.84,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
11,0.85,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
12,0.89,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
13,0.91,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
14,0.94,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
15,0.98,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
16,1.02,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
17,1.05,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
18,1.06,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
19,1.12,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
20,1.14,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
21,1.17,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
22,1.20,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
23,1.26,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
24,1.26,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
25,1.31,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
26,1.31,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
27,1.33,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
28,1.36,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
29,1.37,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
30,1.39,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
31,1.40,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
32,1.42,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
33,1.43,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
34,1.43,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
35,1.42,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
36,1.45,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
37,1.45,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
38,1.43,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
39,1.45,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
40,1.45,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
41,1.47,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
42,1.48,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
43,1.47,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
44,1.48,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
45,1.47,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
46,1.48,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
47,1.51,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
48,1.52,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
49,1.53,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
50,1.55,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
51,1.57,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
52,1.60,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
53,1.61,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
54,1.65,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
55,1.68,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
56,1.72,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
57,1.75,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
58,1.79,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
59,1.83,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
