mag,encoder
0,1
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,3
17,0
18,5
19,7
20,7
21,9
22,9
23,11
24,17
25,20
26,21
27,22
28,25
29,26
30,26
31,25
32,28
33,30
34,29
35,29
36,33
37,31
38,34
39,34
40,35
41,38
42,34
43,40
44,38
45,37
46,40
47,42
48,44
49,45
50,45
51,47
52,48
53,51
54,51
55,51
56,52
57,53
58,59
59,58
60,57
61,58
62,60
63,61
64,62
65,64
66,64
67,70
68,67
69,68
70,72
71,72
72,73
73,73
74,75
75,74
76,75
77,80
78,81
79,83
80,81
81,82
82,82
83,84
84,87
85,86
86,88
87,89
88,90
89,93
90,92
91,94
92,97
93,98
94,95
95,102
96,99
97,98
98,101
99,103
100,105
101,105
102,108
103,107
104,109
105,112
106,111
107,113
108,111
109,113
110,114
111,115
112,118
113,118
114,122
115,121
116,122
117,123
118,125
119,128
120,127
121,130
122,130
123,130
124,133
125,136
126,134
127,135
128,136
129,137
130,140
131,143
132,140
133,142
134,143
135,146
136,149
137,151
138,147
139,151
140,152
141,154
142,155
143,155
144,155
145,158
146,156
147,160
148,164
149,162
150,165
151,164
152,165
153,167
154,168
155,166
156,169
157,171
158,172
159,174
160,172
161,175
162,177
163,178
164,181
165,182
166,182
167,182
168,185
169,185
170,186
171,185
172,187
173,187
174,190
175,191
176,189
177,189
178,188
179,193
180,192
181,190
182,190
183,192
184,192
185,191
186,190
187,192
188,194
189,191
190,192
191,193
192,194
193,194
194,197
195,195
196,199
197,199
198,202
199,202
200,205
201,207
202,208
203,211
204,211
205,212
206,214
207,215
208,218
209,216
210,221
211,221
212,221
213,224
214,226
215,227
216,229
217,232
218,231
219,234
220,235
221,235
222,237
223,240
224,241
225,244
226,245
227,245
228,246
229,248
230,249
231,248
232,252
233,254
234,253
235,253
236,257
237,258
238,257
239,258
240,260
241,264
242,263
243,267
244,266
245,268
246,269
247,270
248,270
249,272
250,271
251,274
252,273
253,275
254,281
255,277
256,280
257,282
258,283
259,284
260,282
261,283
262,284
263,287
264,290
265,292
266,290
267,292
268,293
269,293
270,296
271,296
272,295
273,296
274,300
275,299
276,300
277,302
278,300
279,305
280,303
281,306
282,306
283,307
284,310
285,312
286,314
287,313
288,316
289,315
290,315
291,316
292,319
293,320
294,320
295,326
296,325
297,326
298,328
299,330
300,331
301,335
302,331
303,335
304,338
305,337
306,341
307,344
308,342
309,346
310,347
311,347
312,349
313,353
314,353
315,354
316,356
317,357
318,358
319,361
320,365
321,364
322,366
323,369
324,369
325,369
326,371
327,371
328,376
329,376
330,377
331,380
332,381
333,381
334,382
335,382
336,383
337,379
338,383
339,381
340,383
341,378
342,378
343,381
344,383
345,380
346,381
347,381
348,380
349,384
350,384
351,384
352,384
353,386
354,385
355,387
356,387
357,390
358,389
359,391
360,392
361,393
362,398
363,396
364,397
365,399
366,399
367,400
368,402
369,400
370,404
371,406
372,406
373,408
374,407
375,408
376,407
377,409
378,414
379,414
380,413
381,416
382,416
383,418
384,418
385,419
386,423
387,423
388,426
389,425
390,426
391,426
392,429
393,430
394,432
395,430
396,434
397,434
398,435
399,434
400,437
401,439
402,441
403,442
404,443
405,443
406,443
407,448
408,445
409,447
410,447
411,450
412,452
413,454
414,455
415,455
416,459
417,456
418,460
419,461
420,460
421,462
422,465
423,463
424,464
425,467
426,468
427,469
428,470
429,469
430,472
431,471
432,475
433,476
434,476
435,480
436,478
437,477
438,481
439,481
440,483
441,483
442,483
443,485
444,487
445,486
446,488
447,488
448,492
449,490
450,493
451,493
452,495
453,497
454,499
455,500
456,503
457,503
458,504
459,502
460,505
461,506
462,508
463,506
464,511
465,511
466,514
467,515
468,514
469,518
470,517
471,518
472,523
473,522
474,524
475,523
476,527
477,526
478,530
479,530
480,531
481,534
482,534
483,535
484,536
485,536
486,538
487,538
488,542
489,540
490,542
491,545
492,544
493,546
494,547
495,549
496,548
497,553
498,554
499,554
500,555
501,558
502,559
503,560
504,560
505,562
506,561
507,563
508,565
509,566
510,567
511,569
512,567
513,570
514,572
515,571
516,573
517,574
518,575
519,577
520,573
521,576
522,575
523,577
524,577
525,575
526,577
527,579
528,578
529,574
530,576
531,575
532,576
533,578
534,580
535,576
536,582
537,583
538,582
539,585
540,583
541,587
542,588
543,589
544,592
545,596
546,595
547,595
548,600
549,599
550,600
551,603
552,603
553,606
554,607
555,608
556,611
557,613
558,613
559,613
560,617
561,617
562,621
563,620
564,621
565,623
566,625
567,626
568,629
569,629
570,630
571,632
572,632
573,635
574,635
575,637
576,641
577,640
578,638
579,644
580,643
581,644
582,645
583,646
584,647
585,647
586,649
587,649
588,652
589,651
590,654
591,655
592,655
593,659
594,660
595,659
596,659
597,662
598,663
599,664
600,665
601,666
602,667
603,667
604,671
605,669
606,672
607,672
608,674
609,676
610,674
611,675
612,681
613,679
614,679
615,681
616,681
617,682
618,683
619,686
620,685
621,688
622,688
623,691
624,690
625,691
626,694
627,694
628,697
629,695
630,698
631,700
632,701
633,702
634,703
635,707
636,706
637,710
638,708
639,710
640,711
641,714
642,713
643,716
644,717
645,719
646,722
647,724
648,727
649,727
650,725
651,730
652,733
653,731
654,737
655,738
656,740
657,740
658,743
659,744
660,746
661,749
662,749
663,752
664,752
665,757
666,757
667,758
668,761
669,763
670,764
671,764
672,769
673,769
674,771
675,772
676,771
677,771
678,774
679,770
680,769
681,770
682,769
683,769
684,769
685,769
686,768
687,769
688,772
689,773
690,774
691,770
692,773
693,772
694,776
695,774
696,777
697,777
698,780
699,784
700,782
701,787
702,785
703,789
704,788
705,791
706,792
707,793
708,793
709,795
710,794
711,794
712,797
713,801
714,799
715,800
716,802
717,802
718,806
719,806
720,808
721,807
722,808
723,809
724,809
725,815
726,812
727,816
728,817
729,817
730,819
731,820
732,820
733,821
734,823
735,823
736,825
737,826
738,827
739,827
740,831
741,830
742,832
743,834
744,834
745,834
746,836
747,835
748,839
749,843
750,842
751,844
752,840
753,843
754,843
755,844
756,847
757,846
758,847
759,850
760,852
761,851
762,851
763,853
764,854
765,857
766,857
767,859
768,858
769,857
770,859
771,860
772,861
773,863
774,865
775,866
776,866
777,867
778,866
779,869
780,867
781,871
782,871
783,873
784,876
785,874
786,878
787,875
788,879
789,881
790,880
791,880
792,880
793,884
794,884
795,888
796,886
797,887
798,888
799,891
800,890
801,893
802,892
803,897
804,896
805,897
806,899
807,899
808,901
809,901
810,902
811,902
