index,theta,A,B,C,X,Y,Id,Iq
84,3.61,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
85,3.73,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
86,3.87,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
87,3.99,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
88,4.13,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
89,4.28,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
90,4.41,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
91,4.52,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
92,4.68,-15.00,-15.00,-16.00,0.41,0.71,-0.72,0.38
93,4.82,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
94,4.91,-15.00,-15.00,-16.00,0.41,0.71,-0.61,0.54
95,5.04,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
96,5.19,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
97,5.30,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
98,5.44,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
99,5.58,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
100,5.71,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
101,5.82,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
102,5.94,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
103,6.06,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
104,6.19,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
105,0.03,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
106,0.16,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
107,0.31,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
108,0.45,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
109,0.57,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
110,0.71,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
111,0.85,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
112,0.99,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
113,1.13,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
114,1.29,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
115,1.44,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
116,1.57,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
117,1.69,-16.00,-15.00,-15.00,-0.82,0.00,0.10,0.81
118,1.83,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
119,1.95,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
120,2.08,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
121,2.23,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
122,2.36,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
123,2.47,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
124,2.61,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
125,2.75,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
126,2.85,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
127,2.98,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
128,3.12,-15.00,-15.00,-15.00,0.00,0.00,0.00,-0.00
129,3.24,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
130,3.41,-15.00,-15.00,-16.00,0.41,0.71,-0.58,-0.58
131,3.57,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
132,3.71,-15.00,-15.00,-11.00,-1.63,-2.83,2.89,1.52
133,3.87,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
134,3.99,-15.00,-15.00,-11.00,-1.63,-2.83,3.20,0.65
135,4.15,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
136,4.30,-15.00,-15.00,-11.00,-1.63,-2.83,3.25,-0.35
137,4.47,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
138,4.64,-15.00,-15.00,-15.00,0.00,0.00,-0.00,0.00
139,4.77,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
140,4.93,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
141,5.06,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
142,5.19,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
143,5.29,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
144,5.44,-15.00,-15.00,-15.00,0.00,0.00,0.00,0.00
