a,b,c,alpha,beta
332,498,-816,-56,95
397,462,-829,-56,95
446,426,-849,-56,95
502,373,-851,-56,95
549,316,-829,-56,95
579,216,-780,-56,95
610,138,-720,-56,95
637,62,-672,-56,95
662,4,-648,-56,95
690,-16,-647,-56,95
712,-45,-642,-56,95
739,-102,-617,-56,95
763,-167,-567,-56,95
774,-229,-517,-56,95
785,-285,-482,-56,95
792,-334,-439,-56,95
799,-374,-399,-56,95
792,-435,-354,-56,95
801,-505,-268,-56,95
791,-582,-195,-56,95
783,-638,-116,-56,95
747,-684,-49,-56,95
730,-707,-6,-56,95
725,-724,21,-56,95
698,-746,51,-56,95
662,-754,110,-56,95
623,-775,159,-56,95
596,-794,203,-56,95
561,-807,253,-56,95
535,-827,297,-56,95
483,-840,358,-56,95
420,-835,427,-56,95
356,-830,482,-56,95
278,-794,515,-56,95
214,-754,548,-56,95
134,-713,568,-56,95
48,-658,598,-56,95
-8,-634,636,-56,95
-45,-629,657,-56,95
-105,-604,688,-56,95
-152,-570,714,-56,95
-197,-549,731,-56,95
-261,-497,744,-56,95
-320,-442,752,-56,95
-373,-403,750,-56,95
-422,-357,760,-56,95
-482,-298,767,-56,95
-554,-241,769,-56,95
-624,-149,754,-56,95
-684,-72,728,-56,95
-717,-16,717,-56,95
-739,19,707,-56,95
-758,34,699,-56,95
-769,72,680,-56,95
-782,136,637,-56,95
-805,196,583,-56,95
-817,250,551,-56,95
-833,294,527,-56,95
-854,337,496,-56,95
-868,385,467,-56,95
-852,446,385,-56,95
-805,499,287,-56,95
-776,542,228,-56,95
-750,563,166,-56,95
-701,589,94,-56,95
-657,617,36,-56,95
-649,636,-9,-56,95
-631,662,-38,-56,95
-597,688,-89,-56,95
-562,702,-159,-56,95
-525,727,-218,-56,95
-493,748,-253,-56,95
-469,749,-297,-56,95
-416,761,-347,-56,95
-345,760,-406,-56,95
-283,759,-485,-56,95
-205,764,-552,-56,95
-140,754,-611,-56,95
-81,745,-662,-56,95
-16,725,-693,-56,95
13,706,-716,-56,95
40,706,-729,-56,95
75,684,-743,-56,95
124,646,-763,-56,95
175,622,-777,-56,95
238,579,-798,-56,95
294,539,-812,-56,95
352,492,-827,-56,95
418,453,-854,-56,95
479,407,-857,-56,95
520,342,-850,-56,95
571,250,-794,-56,95
598,169,-751,-56,95
623,90,-696,-56,95
654,29,-653,-56,95
677,-12,-650,-56,95
694,-37,-644,-56,95
728,-92,-606,-56,95
746,-164,-569,-56,95
770,-216,-529,-56,95
781,-262,-511,-56,95
797,-308,-469,-56,95
804,-351,-424,-56,95
794,-426,-359,-56,95
800,-497,-276,-56,95
792,-566,-209,-56,95
787,-627,-142,-56,95
769,-673,-71,-56,95
741,-711,-23,-56,95
723,-727,21,-56,95
708,-739,58,-56,95
680,-760,84,-56,95
655,-773,131,-56,95
610,-796,190,-56,95
578,-809,234,-56,95
557,-822,283,-56,95
508,-844,338,-56,95
457,-849,402,-56,95
396,-844,457,-56,95
313,-821,501,-56,95
247,-786,537,-56,95
184,-741,567,-56,95
99,-702,585,-56,95
21,-653,628,-56,95
-23,-636,657,-56,95
-60,-634,678,-56,95
-87,-611,709,-56,95
-162,-583,729,-56,95
-214,-549,743,-56,95
-265,-508,763,-56,95
-330,-461,768,-56,95
-389,-402,771,-56,95
-450,-341,781,-56,95
-523,-280,769,-56,95
-591,-188,764,-56,95
-665,-107,738,-56,95
-710,-26,718,-56,95
-727,0,723,-56,95
-757,22,711,-56,95
-772,44,711,-56,95
-792,94,672,-56,95
-802,156,624,-56,95
-817,220,586,-56,95
-836,268,550,-56,95
-850,316,520,-56,95
-866,365,486,-56,95
-876,417,433,-56,95
-860,476,360,-56,95
-831,525,289,-56,95
-792,559,221,-56,95
-752,582,154,-56,95
-712,608,99,-56,95
-665,634,22,-56,95
-645,652,-23,-56,95
-625,683,-62,-56,95
-603,704,-120,-56,95
-562,729,-171,-56,95
-538,752,-212,-56,95
-491,761,-275,-56,95
-436,767,-329,-56,95
-388,762,-387,-56,95
-331,772,-442,-56,95
-270,780,-504,-56,95
-202,776,-576,-56,95
-134,774,-630,-56,95
-66,750,-672,-56,95
-12,726,-709,-56,95
24,716,-722,-56,95
40,707,-768,-56,95
95,674,-758,-56,95
143,646,-774,-56,95
202,600,-785,-56,95
264,563,-807,-56,95
319,534,-822,-56,95
363,495,-845,-56,95
432,454,-858,-56,95
481,412,-862,-56,95
530,322,-832,-56,95
575,247,-789,-56,95
598,160,-733,-56,95
633,90,-695,-56,95
661,25,-662,-56,95
695,-15,-656,-56,95
719,-61,-632,-56,95
742,-111,-614,-56,95
770,-162,-578,-56,95
779,-218,-550,-56,95
800,-260,-514,-56,95
803,-306,-470,-56,95
809,-360,-433,-56,95
811,-419,-361,-56,95
807,-499,-296,-56,95
811,-575,-233,-56,95
801,-614,-159,-56,95
775,-673,-89,-56,95
741,-707,-16,-56,95
721,-728,18,-56,95
716,-741,41,-56,95
682,-756,93,-56,95
653,-778,129,-56,95
622,-792,188,-56,95
576,-810,236,-56,95
543,-829,294,-56,95
505,-854,356,-56,95
455,-864,407,-56,95
398,-847,462,-56,95
333,-829,509,-56,95
237,-781,540,-56,95
159,-732,573,-56,95
84,-683,603,-56,95
6,-652,629,-56,95
-14,-653,661,-56,95
-34,-658,687,-56,95
-86,-647,710,-56,95
-145,-602,738,-56,95
-206,-559,760,-56,95
-274,-517,769,-56,95
-317,-477,779,-56,95
-372,-422,784,-56,95
-443,-363,780,-56,95
-513,-278,781,-56,95
-593,-202,765,-56,95
-658,-115,754,-56,95
-705,-49,742,-56,95
-741,-14,728,-56,95
-758,16,726,-56,95
-781,56,702,-56,95
-795,100,668,-56,95
-803,157,633,-56,95
-822,206,591,-56,95
-831,255,561,-56,95
-845,292,549,-56,95
-865,349,492,-56,95
-879,403,457,-56,95
-884,455,402,-56,95
-856,509,332,-56,95
-821,541,266,-56,95
-777,562,192,-56,95
-708,595,104,-56,95
-661,627,24,-56,95
-657,650,-5,-56,95
-648,679,-35,-56,95
-634,703,-85,-56,95
-605,728,-132,-56,95
-548,755,-197,-56,95
